Invoice ID ,BRANCH,City,customer type,Gender  ,Product Line,Unit Price (GHS),Quantity,Tax 5%,Total,Date,Payment,cogs,gross margin percentage,gross income,Rating
348-16-9700,A,Yangon,Member,Female,Home and lifestyle,72.66 GHS,3.0,10.899,228.88,3/8/2019,Credit card,217.98,4.761904762,10.899,4.7
261-62-8793,A,Yangon,member,Male,Food and beverages,47.2 GHS,8.0,18.88,396.48,1/18/2019,Cash,377.6,4.761904762,18.88,
337-78-1611,B,Mandalay,Member,Female,Fashion accessories,35.69 GHS,1.0,1.7845,37.47,"March 19, 2019",Cash,35.69,4.761904762,1.7845,9.4
396-14-1151,A,Yangon,Normal,MALE,Food and beverages,99.75 GHS,7.0,34.9125,733.16,3/28/2019,Cash,698.25,4.761904762,34.9125,8.7
379-34-2845,B,Mandalay,Member,Female,Fashion accessories,50.89 GHS,9.0,22.9005,480.91,"March 15, 2019",Cash,458.01,4.761904762,22.9005,7.1
790-34-3875,B,Mandalay,Member,FEMALE,Sports and travel,33.15 GHS,3.0,4.9725,104.42,2/19/2019,Ewallet,99.45,4.761904762,4.9725,4.1
431-41-1111,C,Naypyitaw,Normal,Female,Home and lifestyle,39.51 GHS,7.0,13.8285,290.4,1/16/2019,Cash,276.57,4.761904762,13.8285,8.0
367-93-6890,B,Mandalay,,Male,Health and beauty,77.84 GHS,6.0,23.352,490.39,3/1/2019,Credit card,467.04,4.761904762,23.352,5.8
888-49-2923,C,Naypyitaw,Member,Male,Sports and travel,20.64 GHS,5.0,5.16,108.36,3/23/2019,Credit card,103.2,4.761904762,5.16,5.0
482-63-9998,C,Naypyitaw,Normal,Female,Home and lifestyle,29.88 GHS,3.0,4.482,94.12,3/20/2019,Ewallet,89.64,4.761904762,4.482,6.9
179-82-2838,,Mandalay,Member,Male,Sports and travel,77.93 GHS,2.0,7.793,,"March 12, 2019",Credit card,155.86,4.761904762,7.793,7.2
697-72-2489,A,Yangon,Member,Male,Electronic accessories,39.53 GHS,9.0,17.7885,373.56,1/23/2019,Credit card,355.77,4.761904762,17.7885,6.7
788-49-1356,C,Naypyitaw,Normal,Male,Health and beauty,21.87 GHS,7.0,7.6545,160.74,3/15/2019,Cash,153.09,4.761904762,7.6545,6.7
654-17-2130,B,Mandalay,Normal,Male,Sports and travel,29.61 GHS,2.0,2.961,,3/3/2019,Ewallet,59.22,4.761904762,2.961,4.3
483-58-8348,B,Mandalay,Member,Female,Health and beauty,26.2 GHS,3.0,3.93,82.53,3/14/2019,Credit card,78.6,4.761904762,3.93,8.6
650-60-9664,B,Mandalay,Normal,,Sports and travel,96.77 GHS,9.0,43.5465,,1/6/2019,Ewallet,870.93,4.761904762,43.5465,4.8
488-39-5055,A,Yangon,Member,Male,Food and beverages,98.06 GHS,8.0,39.224,823.7,"February 18, 2019",Credit card,784.48,4.761904762,39.224,8.0
884-12-4943,B,Mandalay,Normal,Male,Fashion accessories,26.96 GHS,2.0,2.696,56.62,2/20/2019,Credit card,53.92,4.761904762,2.696,4.2
145-61-8191,A,Yangon,Member,Male,Home and lifestyle,13.02 GHS,10.0,6.51,136.71,1/24/2019,Cash,130.2,4.761904762,6.51,8.0
691-86-6253,A,Yangon,Member,Male,Electronic accessories,55.35 GHS,5.0,13.8375,290.59,3/11/2019,Credit card,276.75,4.761904762,13.8375,5.4
852-32-7999,,Yangon,normal,Male,Sports and travel,56.91 GHS,7.0,19.9185,418.29,3/19/2019,Cash,398.37,4.761904762,19.9185,5.8
518-29-5913,C,Naypyitaw,Normal,Male,Fashion accessories,94.74 GHS,7.0,33.159,,3/14/2019,Ewallet,663.18,4.761904762,33.159,
675-62-7824,B,Mandalay,Member,Female,Electronic accessories,86.44 GHS,5.0,21.61,453.81,"February 2, 2019",Cash,432.2,4.761904762,21.61,9.1
648-34-1844,C,Naypyitaw,Member,Female,Electronic accessories,32.95 GHS,6.0,9.885,207.59,2/3/2019,Ewallet,197.7,4.761904762,9.885,7.9
313-52-5967,,Mandalay,Normal,Male,Food and beverages,26.93 GHS,10.0,13.465,282.76,1/16/2019,Credit card,269.3,4.761904762,13.465,8.3
309-60-4921,A,Yangon,Member,Male,Sports and travel,20.56 GHS,8.0,8.224,172.7,3/23/2019,Credit card,164.48,4.761904762,8.224,9.5
695-57-8753,C,Naypyitaw,Normal,FEMALE,Food and beverages,18.37 GHS,4.0,3.674,77.15,2/22/2019,Cash,73.48,4.761904762,3.674,
744-83-4185,A,Yangon,Member,Male,Food and beverages,14.16 GHS,8.0,5.664,118.94,2/14/2019,Cash,113.28,4.761904762,5.664,7.7
846-50-8149,B,Mandalay,Member,Male,Fashion accessories,26.07 GHS,5.0,6.5175,136.87,2/12/2019,Credit card,130.35,4.761904762,6.5175,4.2
643-47-8433,B,Mandalay,Member,Male,Electronic accessories,34.75 GHS,10.0,17.375,364.88,2/20/2019,Ewallet,347.5,4.761904762,17.375,7.3
179-82-2838,,Mandalay,Member,Male,Sports and travel,77.93 GHS,2.0,7.793,,"March 12, 2019",Credit card,155.86,4.761904762,7.793,7.2
